"doi","URL","content.type","content.version","intended.application","language","id"
"10.1080/09581596.2017.1400659","https://www.tandfonline.com/doi/pdf/10.1080/09581596.2017.1400659","application/pdf","vor","text-mining","en",1
"10.1080/09581596.2017.1400659","https://www.tandfonline.com/doi/pdf/10.1080/09581596.2017.1400659","unspecified","vor","similarity-checking","en",2
"10.1080/00220272.2021.1881169","https://www.tandfonline.com/doi/pdf/10.1080/00220272.2021.1881169","unspecified","vor","similarity-checking","en",3
"10.1007/s10111-019-00600-4","http://link.springer.com/content/pdf/10.1007/s10111-019-00600-4.pdf","application/pdf","vor","text-mining","en",4
"10.1007/s10111-019-00600-4","http://link.springer.com/content/pdf/10.1007/s10111-019-00600-4.pdf","application/pdf","vor","similarity-checking","en",5
"10.1007/s11019-020-09957-0","https://link.springer.com/content/pdf/10.1007/s11019-020-09957-0.pdf","application/pdf","vor","text-mining","en",6
"10.1007/s11019-020-09957-0","https://link.springer.com/content/pdf/10.1007/s11019-020-09957-0.pdf","application/pdf","vor","similarity-checking","en",7
"10.4013/rechtd.2017.92.03","http://www.revistas.unisinos.br/index.php/RECHTD/article/view/rechtd.2017.92.03/6274","unspecified","vor","similarity-checking",NA,8
"10.1177/14680173211008107","http://journals.sagepub.com/doi/pdf/10.1177/14680173211008107","application/pdf","vor","text-mining","en",9
"10.1177/14680173211008107","http://journals.sagepub.com/doi/pdf/10.1177/14680173211008107","unspecified","vor","similarity-checking","en",10
"10.1177/0539018408099635","http://journals.sagepub.com/doi/pdf/10.1177/0539018408099635","application/pdf","vor","text-mining","en",11
"10.1177/0539018408099635","http://journals.sagepub.com/doi/pdf/10.1177/0539018408099635","unspecified","vor","similarity-checking","en",12
"10.1002/sres.2682","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fsres.2682","application/pdf","vor","text-mining","en",13
"10.1002/sres.2682","http://onlinelibrary.wiley.com/wol1/doi/10.1002/sres.2682/fullpdf","unspecified","vor","similarity-checking","en",14
"10.1590/s0103-73312010000100014","http://www.scielo.br/pdf/physis/v20n1/a14v20n1.pdf","unspecified","vor","similarity-checking",NA,15
"10.1590/s1517-45222006000100007","http://www.scielo.br/pdf/soc/n15/a07v8n15.pdf","unspecified","vor","similarity-checking",NA,16
"10.1515/orga-2016-0006","https://www.sciendo.com/article/10.1515/orga-2016-0006","unspecified","vor","similarity-checking","en",17
"10.4312/as.2022.10.3.107-126","https://journals.uni-lj.si/as/article/download/10818/10414","application/pdf","vor","text-mining",NA,18
"10.4312/as.2022.10.3.107-126","https://journals.uni-lj.si/as/article/download/10818/10414","unspecified","vor","similarity-checking",NA,19
"10.1108/s1877-6361(2009)0000006008","http://www.emeraldinsight.com/doi/full-xml/10.1108/S1877-6361(2009)0000006008","unspecified","vor","text-mining",NA,20
"10.1108/s1877-6361(2009)0000006008","https://www.emerald.com/insight/content/doi/10.1108/S1877-6361(2009)0000006008/full/html","unspecified","vor","similarity-checking",NA,21
"10.1515/zfsoz-2017-1014","https://www.degruyter.com/document/doi/10.1515/zfsoz-2017-1014/pdf","unspecified","vor","similarity-checking","en",22
